date,open,high,low,close,volume
2025-04-17,580.0,585.65,577.3,582.95,1000000.0
2025-04-18,582.95,588.52,580.25,585.82,1064948.69
2025-04-19,585.82,591.26,583.12,588.56,1128737.14
2025-04-20,588.56,593.8,585.86,591.1,1190228.74
2025-04-21,591.1,596.07,588.4,593.37,1248333.69
2025-04-22,593.37,598.05,590.67,595.35,1302031.16
2025-04-23,595.35,599.69,592.65,596.99,1350390.15
2025-04-24,596.99,600.98,594.29,598.28,1392588.39
2025-04-25,598.28,601.9,595.58,599.2,1427929.17
2025-04-26,599.2,602.48,596.5,599.78,1455855.43
2025-04-27,599.78,602.74,597.08,600.04,1475961.23
2025-04-28,600.04,602.74,597.3,600.0,1487999.92
2025-04-29,600.0,602.7,597.02,599.72,1491889.22
2025-04-30,599.72,602.42,596.55,599.25,1487712.88
2025-05-01,599.25,601.95,595.97,598.67,1475718.97
2025-05-02,598.67,601.37,595.33,598.03,1456314.84
2025-05-03,598.03,600.73,594.72,597.42,1430058.81
2025-05-04,597.42,600.12,594.2,596.9,1397648.79
2025-05-05,596.9,599.6,593.83,596.53,1359908.07
2025-05-06,596.53,599.23,593.69,596.39,1317768.56
2025-05-07,596.39,599.22,593.69,596.52,1272251.76
2025-05-08,596.52,599.66,593.82,596.96,1224448.0
2025-05-09,596.96,600.44,594.26,597.74,1175494.2
2025-05-10,597.74,601.57,595.04,598.87,1126550.71
2025-05-11,598.87,603.07,596.17,600.37,1078777.66
2025-05-12,600.37,604.91,597.67,602.21,1033311.34
2025-05-13,602.21,607.07,599.51,604.37,991241.05
2025-05-14,604.37,609.5,601.67,606.8,953586.89
2025-05-15,606.8,612.16,604.1,609.46,921279.0
2025-05-16,609.46,614.99,606.76,612.29,895138.59
2025-05-17,612.29,617.91,609.59,615.21,875861.22
2025-05-18,615.21,620.87,612.51,618.17,864002.63
2025-05-19,618.17,623.78,615.47,621.08,859967.39
2025-05-20,621.08,626.59,618.38,623.89,864000.72
2025-05-21,623.89,629.21,621.19,626.51,876183.42
2025-05-22,626.51,631.6,623.81,628.9,896430.29
2025-05-23,628.9,633.71,626.2,631.01,924491.81
2025-05-24,631.01,635.49,628.31,632.79,959959.25
2025-05-25,632.79,636.93,630.09,634.23,1002273.01
2025-05-26,634.23,638.0,631.53,635.3,1050734.0
2025-05-27,635.3,638.73,632.6,636.03,1104517.88
2025-05-28,636.03,639.11,633.33,636.41,1162691.89
2025-05-29,636.41,639.19,633.71,636.49,1224233.8
2025-05-30,636.49,639.19,633.6,636.3,1288052.78
2025-05-31,636.3,639.0,633.21,635.91,1353011.59
2025-06-01,635.91,638.61,632.67,635.37,1417949.8
2025-06-02,635.37,638.07,632.04,634.74,1481707.36
2025-06-03,634.74,637.44,631.41,634.11,1543148.31
2025-06-04,634.11,636.81,630.84,633.54,1601183.87
2025-06-05,633.54,636.24,630.4,633.1,1654794.64
2025-06-06,633.1,635.8,630.16,632.86,1703051.37
2025-06-07,632.86,635.57,630.16,632.87,1745133.88
2025-06-08,632.87,635.88,630.17,633.18,1780347.81
2025-06-09,633.18,636.51,630.48,633.81,1808138.7
2025-06-10,633.81,637.5,631.11,634.8,1828103.35
2025-06-11,634.8,638.85,632.1,636.15,1839998.0
2025-06-12,636.15,640.55,633.45,637.85,1843743.3
2025-06-13,637.85,642.57,635.15,639.87,1839425.93
2025-06-14,639.87,644.9,637.17,642.2,1827296.84
2025-06-15,642.2,647.47,639.5,644.77,1807766.13
