date,open,high,low,close,volume
2025-04-17,3000.0,3038.92,2982.0,3020.92,1000000.0
2025-04-18,3020.92,3059.37,3002.92,3041.37,1064948.69
2025-04-19,3041.37,3078.88,3023.37,3060.88,1128737.14
2025-04-20,3060.88,3097.04,3042.88,3079.04,1190228.74
2025-04-21,3079.04,3113.49,3061.04,3095.49,1248333.69
2025-04-22,3095.49,3127.92,3077.49,3109.92,1302031.16
2025-04-23,3109.92,3140.13,3091.92,3122.13,1350390.15
2025-04-24,3122.13,3149.97,3104.13,3131.97,1392588.39
2025-04-25,3131.97,3157.43,3113.97,3139.43,1427929.17
2025-04-26,3139.43,3162.56,3121.43,3144.56,1455855.43
2025-04-27,3144.56,3165.51,3126.56,3147.51,1475961.23
2025-04-28,3147.51,3166.53,3129.51,3148.53,1487999.92
2025-04-29,3148.53,3166.53,3129.93,3147.93,1491889.22
2025-04-30,3147.93,3165.93,3128.1,3146.1,1487712.88
2025-05-01,3146.1,3164.1,3125.47,3143.47,1475718.97
2025-05-02,3143.47,3161.47,3122.5,3140.5,1456314.84
2025-05-03,3140.5,3158.5,3119.67,3137.67,1430058.81
2025-05-04,3137.67,3155.67,3117.45,3135.45,1397648.79
2025-05-05,3135.45,3153.45,3116.29,3134.29,1359908.07
2025-05-06,3134.29,3152.59,3116.29,3134.59,1317768.56
2025-05-07,3134.59,3154.71,3116.59,3136.71,1272251.76
2025-05-08,3136.71,3158.9,3118.71,3140.9,1224448.0
2025-05-09,3140.9,3165.38,3122.9,3147.38,1175494.2
2025-05-10,3147.38,3174.23,3129.38,3156.23,1126550.71
2025-05-11,3156.23,3185.46,3138.23,3167.46,1078777.66
2025-05-12,3167.46,3198.99,3149.46,3180.99,1033311.34
2025-05-13,3180.99,3214.63,3162.99,3196.63,991241.05
2025-05-14,3196.63,3232.12,3178.63,3214.12,953586.89
2025-05-15,3214.12,3251.12,3196.12,3233.12,921279.0
2025-05-16,3233.12,3271.24,3215.12,3253.24,895138.59
2025-05-17,3253.24,3292.01,3235.24,3274.01,875861.22
2025-05-18,3274.01,3312.99,3256.01,3294.99,864002.63
2025-05-19,3294.99,3333.69,3276.99,3315.69,859967.39
2025-05-20,3315.69,3353.65,3297.69,3335.65,864000.72
2025-05-21,3335.65,3372.42,3317.65,3354.42,876183.42
2025-05-22,3354.42,3389.62,3336.42,3371.62,896430.29
2025-05-23,3371.62,3404.92,3353.62,3386.92,924491.81
2025-05-24,3386.92,3418.08,3368.92,3400.08,959959.25
2025-05-25,3400.08,3428.91,3382.08,3410.91,1002273.01
2025-05-26,3410.91,3437.36,3392.91,3419.36,1050734.0
2025-05-27,3419.36,3443.44,3401.36,3425.44,1104517.88
2025-05-28,3425.44,3447.28,3407.44,3429.28,1162691.89
2025-05-29,3429.28,3449.06,3411.28,3431.06,1224233.8
2025-05-30,3431.06,3449.1,3413.06,3431.1,1288052.78
2025-05-31,3431.1,3449.1,3411.73,3429.73,1353011.59
2025-06-01,3429.73,3447.73,3409.37,3427.37,1417949.8
2025-06-02,3427.37,3445.37,3406.49,3424.49,1481707.36
2025-06-03,3424.49,3442.49,3403.54,3421.54,1543148.31
2025-06-04,3421.54,3439.54,3401.01,3419.01,1601183.87
2025-06-05,3419.01,3437.01,3399.36,3417.36,1654794.64
2025-06-06,3417.36,3435.36,3399.01,3417.01,1703051.37
2025-06-07,3417.01,3436.33,3399.01,3418.33,1745133.88
2025-06-08,3418.33,3439.63,3400.33,3421.63,1780347.81
2025-06-09,3421.63,3445.14,3403.63,3427.14,1808138.7
2025-06-10,3427.14,3453.0,3409.14,3435.0,1828103.35
2025-06-11,3435.0,3463.25,3417.0,3445.25,1839998.0
2025-06-12,3445.25,3475.84,3427.25,3457.84,1843743.3
2025-06-13,3457.84,3490.63,3439.84,3472.63,1839425.93
2025-06-14,3472.63,3507.39,3454.63,3489.39,1827296.84
2025-06-15,3489.39,3525.81,3471.39,3507.81,1807766.13
