date,open,high,low,close,volume
2025-04-17,150.0,152.99,148.2,151.19,1000000.0
2025-04-18,151.19,154.14,149.39,152.34,1064948.69
2025-04-19,152.34,155.19,150.54,153.39,1128737.14
2025-04-20,153.39,156.1,151.59,154.3,1190228.74
2025-04-21,154.3,156.85,152.5,155.05,1248333.69
2025-04-22,155.05,157.39,153.25,155.59,1302031.16
2025-04-23,155.59,157.71,153.79,155.91,1350390.15
2025-04-24,155.91,157.8,154.11,156.0,1392588.39
2025-04-25,156.0,157.8,154.04,155.84,1427929.17
2025-04-26,155.84,157.64,153.66,155.46,1455855.43
2025-04-27,155.46,157.26,153.05,154.85,1475961.23
2025-04-28,154.85,156.65,152.25,154.05,1487999.92
2025-04-29,154.05,155.85,151.29,153.09,1491889.22
2025-04-30,153.09,154.89,150.21,152.01,1487712.88
2025-05-01,152.01,153.81,149.05,150.85,1475718.97
2025-05-02,150.85,152.65,147.85,149.65,1456314.84
2025-05-03,149.65,151.45,146.67,148.47,1430058.81
2025-05-04,148.47,150.27,145.54,147.34,1397648.79
2025-05-05,147.34,149.14,144.53,146.33,1359908.07
2025-05-06,146.33,148.13,143.66,145.46,1317768.56
2025-05-07,145.46,147.26,142.97,144.77,1272251.76
2025-05-08,144.77,146.57,142.49,144.29,1224448.0
2025-05-09,144.29,146.09,142.24,144.04,1175494.2
2025-05-10,144.04,145.84,142.22,144.02,1126550.71
2025-05-11,144.02,146.05,142.22,144.25,1078777.66
2025-05-12,144.25,146.5,142.45,144.7,1033311.34
2025-05-13,144.7,147.16,142.9,145.36,991241.05
2025-05-14,145.36,148.01,143.56,146.21,953586.89
2025-05-15,146.21,149.01,144.41,147.21,921279.0
2025-05-16,147.21,150.12,145.41,148.32,895138.59
2025-05-17,148.32,151.3,146.52,149.5,875861.22
2025-05-18,149.5,152.5,147.7,150.7,864002.63
2025-05-19,150.7,153.67,148.9,151.87,859967.39
2025-05-20,151.87,154.76,150.07,152.96,864000.72
2025-05-21,152.96,155.74,151.16,153.94,876183.42
2025-05-22,153.94,156.56,152.14,154.76,896430.29
2025-05-23,154.76,157.19,152.96,155.39,924491.81
2025-05-24,155.39,157.61,153.59,155.81,959959.25
2025-05-25,155.81,157.79,154.01,155.99,1002273.01
2025-05-26,155.99,157.79,154.14,155.94,1050734.0
2025-05-27,155.94,157.74,153.84,155.64,1104517.88
2025-05-28,155.64,157.44,153.33,155.13,1162691.89
2025-05-29,155.13,156.93,152.61,154.41,1224233.8
2025-05-30,154.41,156.21,151.71,153.51,1288052.78
2025-05-31,153.51,155.31,150.67,152.47,1353011.59
2025-06-01,152.47,154.27,149.54,151.34,1417949.8
2025-06-02,151.34,153.14,148.35,150.15,1481707.36
2025-06-03,150.15,151.95,147.15,148.95,1543148.31
2025-06-04,148.95,150.75,146.0,147.8,1601183.87
2025-06-05,147.8,149.6,144.94,146.74,1654794.64
2025-06-06,146.74,148.54,144.0,145.8,1703051.37
2025-06-07,145.8,147.6,143.23,145.03,1745133.88
2025-06-08,145.03,146.83,142.66,144.46,1780347.81
2025-06-09,144.46,146.26,142.31,144.11,1808138.7
2025-06-10,144.11,145.91,142.2,144.0,1828103.35
2025-06-11,144.0,145.92,142.2,144.12,1839998.0
2025-06-12,144.12,146.28,142.32,144.48,1843743.3
2025-06-13,144.48,146.86,142.68,145.06,1839425.93
2025-06-14,145.06,147.64,143.26,145.84,1827296.84
2025-06-15,145.84,148.58,144.04,146.78,1807766.13
2026-06-17,146.78,148.9817,145.3122,146.78,1782000.0
2026-06-18,146.78,148.9817,145.3122,146.78,1800000.0
2026-06-19,146.78,148.9817,145.3122,146.78,1818000.0
2026-06-20,146.78,148.9817,145.3122,146.78,1782000.0
2026-06-21,146.78,148.9817,145.3122,146.78,1800000.0
2026-06-22,146.78,148.9817,145.3122,146.78,1818000.0
2026-06-23,146.78,148.9817,145.3122,146.78,1782000.0
2026-06-24,146.78,148.9817,145.3122,146.78,1800000.0
2026-06-25,146.78,148.9817,145.3122,146.78,1818000.0
2026-06-26,146.78,148.9817,145.3122,146.78,1782000.0
2026-06-27,146.78,148.9817,145.3122,146.78,1800000.0
2026-06-28,146.78,148.9817,145.3122,146.78,1818000.0
2026-06-29,146.78,148.9817,145.3122,146.78,1782000.0
2026-06-30,146.78,148.9817,145.3122,146.78,1800000.0
